ID,Lat,Lng,District,County,Fwy,Lanes,Type,Direction,ID2
500017011,36.990671,-122.02102,5,Santa Cruz,SR17-N,2,Mainline,N,2832
500017021,36.99604,-122.019621,5,Santa Cruz,SR17-N,3,Mainline,N,2833
500017102,37.106926,-121.976301,5,Santa Cruz,SR17-N,2,Mainline,N,2834
500017012,36.991464,-122.020575,5,Santa Cruz,SR17-S,2,Mainline,S,2835
500017022,36.996341,-122.020022,5,Santa Cruz,SR17-S,2,Mainline,S,2836
500017101,37.106455,-121.975817,5,Santa Cruz,SR17-S,2,Mainline,S,2837
506800012,36.593089,-121.867138,5,Monterey,SR68-E,2,Mainline,E,2838
506800021,36.588619,-121.866074,5,Monterey,SR68-E,1,Mainline,E,2839
506800071,36.570195,-121.759253,5,Monterey,SR68-E,1,Mainline,E,2840
506800091,36.578124,-121.72932,5,Monterey,SR68-E,1,Mainline,E,2841
506800111,36.592287,-121.706148,5,Monterey,SR68-E,1,Mainline,E,2842
506800122,36.604686,-121.694619,5,Monterey,SR68-E,2,Mainline,E,2843
506800131,36.625285,-121.680718,5,Monterey,SR68-E,2,Mainline,E,2844
506800141,36.634694,-121.668155,5,Monterey,SR68-E,2,Mainline,E,2845
506800031,36.583693,-121.848058,5,Monterey,SR68-W,1,Mainline,W,2846
506800041,36.576014,-121.823197,5,Monterey,SR68-W,1,Mainline,W,2847
506800051,36.569456,-121.792837,5,Monterey,SR68-W,1,Mainline,W,2848
506800061,36.569476,-121.773156,5,Monterey,SR68-W,1,Mainline,W,2849
506800081,36.571842,-121.743067,5,Monterey,SR68-W,1,Mainline,W,2850
506800101,36.581022,-121.718503,5,Monterey,SR68-W,1,Mainline,W,2851
501010012,34.385801,-119.489561,5,Santa Barbara,US101-N,3,Mainline,N,2852
501010022,34.389586,-119.501353,5,Santa Barbara,US101-N,2,Mainline,N,2853
501010052,34.403233,-119.526471,5,Santa Barbara,US101-N,3,Mainline,N,2854
501010053,34.403381,-119.526417,5,Santa Barbara,US101-N,3,Mainline,N,2855
501010061,34.404247,-119.53088,5,Santa Barbara,US101-N,3,Mainline,N,2856
501010072,34.406056,-119.543567,5,Santa Barbara,US101-N,2,Mainline,N,2857
501010082,34.412716,-119.555409,5,Santa Barbara,US101-N,2,Mainline,N,2858
501010091,34.416284,-119.570889,5,Santa Barbara,US101-N,2,Mainline,N,2859
501010102,34.417097,-119.585526,5,Santa Barbara,US101-N,2,Mainline,N,2860
501010112,34.420599,-119.59806,5,Santa Barbara,US101-N,2,Mainline,N,2861
501010122,34.42165,-119.611645,5,Santa Barbara,US101-N,2,Mainline,N,2862
501010131,34.422592,-119.631871,5,Santa Barbara,US101-N,2,Mainline,N,2863
501010142,34.421899,-119.638078,5,Santa Barbara,US101-N,2,Mainline,N,2864
501010152,34.421069,-119.649038,5,Santa Barbara,US101-N,2,Mainline,N,2865
501011032,34.423175,-119.658758,5,Santa Barbara,US101-N,2,Mainline,N,2866
501011051,34.422056,-119.663735,5,Santa Barbara,US101-N,3,Mainline,N,2867
501011061,34.420979,-119.667635,5,Santa Barbara,US101-N,3,Mainline,N,2868
501011071,34.420057,-119.671327,5,Santa Barbara,US101-N,3,Mainline,N,2869
501011082,34.420451,-119.676153,5,Santa Barbara,US101-N,3,Mainline,N,2870
501011092,34.419863,-119.684207,5,Santa Barbara,US101-N,3,Mainline,N,2871
501011103,34.416972,-119.691316,5,Santa Barbara,US101-N,3,Mainline,N,2872
501011111,34.413933,-119.69468,5,Santa Barbara,US101-N,3,Mainline,N,2873
501011122,34.413169,-119.702923,5,Santa Barbara,US101-N,3,Mainline,N,2874
501011132,34.416721,-119.707607,5,Santa Barbara,US101-N,3,Mainline,N,2875
501011141,34.420575,-119.713284,5,Santa Barbara,US101-N,3,Mainline,N,2876
501011151,34.42345,-119.717222,5,Santa Barbara,US101-N,3,Mainline,N,2877
501012012,34.427024,-119.727521,5,Santa Barbara,US101-N,3,Mainline,N,2878
501012022,34.42886,-119.738795,5,Santa Barbara,US101-N,3,Mainline,N,2879
501012031,34.431717,-119.744941,5,Santa Barbara,US101-N,3,Mainline,N,2880
501012042,34.437697,-119.752399,5,Santa Barbara,US101-N,3,Mainline,N,2881
501012051,34.441126,-119.757898,5,Santa Barbara,US101-N,3,Mainline,N,2882
501012062,34.441104,-119.769976,5,Santa Barbara,US101-N,3,Mainline,N,2883
501012071,34.442158,-119.783847,5,Santa Barbara,US101-N,3,Mainline,N,2884
501012082,34.44193,-119.793576,5,Santa Barbara,US101-N,3,Mainline,N,2885
501012091,34.441743,-119.805266,5,Santa Barbara,US101-N,3,Mainline,N,2886
501012102,34.441166,-119.815815,5,Santa Barbara,US101-N,3,Mainline,N,2887
501012111,34.440281,-119.825329,5,Santa Barbara,US101-N,3,Mainline,N,2888
501012122,34.439213,-119.836702,5,Santa Barbara,US101-N,2,Mainline,N,2889
501012131,34.438091,-119.847186,5,Santa Barbara,US101-N,2,Mainline,N,2890
501012143,34.436966,-119.857906,5,Santa Barbara,US101-N,2,Mainline,N,2891
501012152,34.433001,-119.876613,5,Santa Barbara,US101-N,2,Mainline,N,2892
501013012,34.432512,-119.898221,5,Santa Barbara,US101-N,2,Mainline,N,2893
501014022,34.879507,-120.40816,5,Santa Barbara,US101-N,2,Mainline,N,2894
501014033,34.895329,-120.418037,5,Santa Barbara,US101-N,3,Mainline,N,2895
501014041,34.919428,-120.417764,5,Santa Barbara,US101-N,3,Mainline,N,2896
501014052,34.927321,-120.417703,5,Santa Barbara,US101-N,3,Mainline,N,2897
501014062,34.939225,-120.417619,5,Santa Barbara,US101-N,3,Mainline,N,2898
501014071,34.948562,-120.417387,5,Santa Barbara,US101-N,3,Mainline,N,2899
501014082,34.957221,-120.417389,5,Santa Barbara,US101-N,3,Mainline,N,2900
501014091,34.969835,-120.424155,5,Santa Barbara,US101-N,3,Mainline,N,2901
501014102,34.984542,-120.432631,5,Santa Barbara,US101-N,3,Mainline,N,2902
501015113,35.1224,-120.586755,5,San Luis Obispo,US101-N,2,Mainline,N,2903
501015122,35.123984,-120.592082,5,San Luis Obispo,US101-N,2,Mainline,N,2904
501015131,35.128343,-120.601317,5,San Luis Obispo,US101-N,2,Mainline,N,2905
501015142,35.13056,-120.608214,5,San Luis Obispo,US101-N,2,Mainline,N,2906
501015152,35.133575,-120.616169,5,San Luis Obispo,US101-N,2,Mainline,N,2907
501016012,35.136964,-120.624242,5,San Luis Obispo,US101-N,2,Mainline,N,2908
501016022,35.138561,-120.631911,5,San Luis Obispo,US101-N,2,Mainline,N,2909
501016032,35.142173,-120.639354,5,San Luis Obispo,US101-N,2,Mainline,N,2910
501016042,35.147501,-120.645498,5,San Luis Obispo,US101-N,2,Mainline,N,2911
501016052,35.151907,-120.657244,5,San Luis Obispo,US101-N,2,Mainline,N,2912
501016061,35.154321,-120.662556,5,San Luis Obispo,US101-N,2,Mainline,N,2913
501016072,35.164041,-120.686722,5,San Luis Obispo,US101-N,2,Mainline,N,2914
501016081,35.177719,-120.697892,5,San Luis Obispo,US101-N,2,Mainline,N,2915
501016092,35.192085,-120.70065,5,San Luis Obispo,US101-N,2,Mainline,N,2916
501016101,35.22339,-120.691523,5,San Luis Obispo,US101-N,2,Mainline,N,2917
501016112,35.23107,-120.690404,5,San Luis Obispo,US101-N,2,Mainline,N,2918
501016123,35.243752,-120.682609,5,San Luis Obispo,US101-N,2,Mainline,N,2919
501016131,35.250519,-120.678636,5,San Luis Obispo,US101-N,2,Mainline,N,2920
501016142,35.257574,-120.674426,5,San Luis Obispo,US101-N,2,Mainline,N,2921
501016153,35.265831,-120.673503,5,San Luis Obispo,US101-N,2,Mainline,N,2922
501017012,35.273178,-120.67176,5,San Luis Obispo,US101-N,2,Mainline,N,2923
501017023,35.28315,-120.667643,5,San Luis Obispo,US101-N,2,Mainline,N,2924
501017032,35.287474,-120.662498,5,San Luis Obispo,US101-N,2,Mainline,N,2925
501017043,35.291784,-120.655535,5,San Luis Obispo,US101-N,2,Mainline,N,2926
501017051,35.291755,-120.648986,5,San Luis Obispo,US101-N,2,Mainline,N,2927
501017061,35.29537,-120.633652,5,San Luis Obispo,US101-N,2,Mainline,N,2928
501017113,35.360248,-120.637847,5,San Luis Obispo,US101-N,2,Mainline,N,2929
501017121,35.369261,-120.641074,5,San Luis Obispo,US101-N,2,Mainline,N,2930
501017133,35.381915,-120.631379,5,San Luis Obispo,US101-N,2,Mainline,N,2931
501017141,35.396467,-120.622696,5,San Luis Obispo,US101-N,2,Mainline,N,2932
501017151,35.409754,-120.625997,5,San Luis Obispo,US101-N,2,Mainline,N,2933
501018011,35.427013,-120.633325,5,San Luis Obispo,US101-N,2,Mainline,N,2934
501018021,35.44283,-120.638113,5,San Luis Obispo,US101-N,2,Mainline,N,2935
501018042,35.46519,-120.650626,5,San Luis Obispo,US101-N,2,Mainline,N,2936
501018051,35.475773,-120.657932,5,San Luis Obispo,US101-N,2,Mainline,N,2937
501018062,35.483458,-120.662341,5,San Luis Obispo,US101-N,2,Mainline,N,2938
501018072,35.487096,-120.668108,5,San Luis Obispo,US101-N,2,Mainline,N,2939
501019011,36.660991,-121.622983,5,Monterey,US101-N,2,Mainline,N,2940
